"PathwayID","CompoundID","CompoundName"
"ko00010","C00022","Pyruvate"
"ko00010","C00024","Acetyl-CoA"
"ko00010","C00031","D-Glucose"
"ko00010","C00033","Acetate"
"ko00010","C00036","Oxaloacetate"
"ko00010","C00068","Thiamin diphosphate"
"ko00010","C00074","Phosphoenolpyruvate"
"ko00010","C00084","Acetaldehyde"
"ko00010","C00085","D-Fructose 6-phosphate"
"ko00010","C00103","D-Glucose 1-phosphate"
"ko00010","C00111","Glycerone phosphate"
"ko00010","C00118","D-Glyceraldehyde 3-phosphate"
"ko00010","C00186","(S)-Lactate"
"ko00010","C00197","3-Phospho-D-glycerate"
"ko00010","C00221","beta-D-Glucose"
"ko00010","C00236","3-Phospho-D-glyceroyl phosphate"
"ko00010","C00267","alpha-D-Glucose"
"ko00010","C00354","D-Fructose 1,6-bisphosphate"
"ko00010","C00469","Ethanol"
"ko00010","C00631","2-Phospho-D-glycerate"
"ko00010","C00668","alpha-D-Glucose 6-phosphate"
"ko00010","C01159","2,3-Bisphospho-D-glycerate"
"ko00010","C01172","beta-D-Glucose 6-phosphate"
"ko00010","C01451","Salicin"
"ko00010","C05125","2-(alpha-Hydroxyethyl)thiamine diphosphate"
"ko00010","C06186","Arbutin"
"ko00010","C06187","Arbutin 6-phosphate"
"ko00010","C06188","Salicin 6-phosphate"
"ko00010","C15972","Enzyme N6-(lipoyl)lysine"
"ko00010","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00010","C16255","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"ko00020","C00022","Pyruvate"
"ko00020","C00024","Acetyl-CoA"
"ko00020","C00026","2-Oxoglutarate"
"ko00020","C00036","Oxaloacetate"
"ko00020","C00042","Succinate"
"ko00020","C00068","Thiamin diphosphate"
"ko00020","C00074","Phosphoenolpyruvate"
"ko00020","C00091","Succinyl-CoA"
"ko00020","C00122","Fumarate"
"ko00020","C00149","(S)-Malate"
"ko00020","C00158","Citrate"
"ko00020","C00311","Isocitrate"
"ko00020","C00417","cis-Aconitate"
"ko00020","C05125","2-(alpha-Hydroxyethyl)thiamine diphosphate"
"ko00020","C05379","Oxalosuccinate"
"ko00020","C05381","3-Carboxy-1-hydroxypropyl-ThPP"
"ko00020","C15972","Enzyme N6-(lipoyl)lysine"
"ko00020","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00020","C16254","[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine"
"ko00020","C16255","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"ko00030","C00022","Pyruvate"
"ko00030","C00031","D-Glucose"
"ko00030","C00085","D-Fructose 6-phosphate"
"ko00030","C00117","D-Ribose 5-phosphate"
"ko00030","C00118","D-Glyceraldehyde 3-phosphate"
"ko00030","C00119","5-Phospho-alpha-D-ribose 1-diphosphate"
"ko00030","C00121","D-Ribose"
"ko00030","C00197","3-Phospho-D-glycerate"
"ko00030","C00198","D-Glucono-1,5-lactone"
"ko00030","C00199","D-Ribulose 5-phosphate"
"ko00030","C00204","2-Dehydro-3-deoxy-D-gluconate"
"ko00030","C00221","beta-D-Glucose"
"ko00030","C00231","D-Xylulose 5-phosphate"
