"Pathway1","Pathway2","Knowledge"
"ko00010","ko00020",1
"ko00010","ko00030",1
"ko00010","ko00500",1
"ko00010","ko00620",1
"ko00010","ko00640",1
"ko00010","ko00710",1
"ko00020","ko00053",1
"ko00020","ko00061",1
"ko00020","ko00062",1
"ko00020","ko00071",1
"ko00020","ko00190",1
"ko00020","ko00220",1
"ko00020","ko00250",1
"ko00020","ko00280",1
"ko00020","ko00350",1
"ko00020","ko00470",1
"ko00020","ko00630",1
"ko00030","ko00040",1
"ko00030","ko00052",1
"ko00030","ko00230",1
"ko00030","ko00240",1
"ko00030","ko00340",1
"ko00030","ko00630",1
"ko00030","ko00750",1
"ko00010","ko00040",1
"ko00020","ko00040",1
"ko00040","ko00052",1
"ko00040","ko00053",1
"ko00040","ko00520",1
"ko00040","ko00561",1
"ko00040","ko00562",1
"ko00040","ko00740",1
"ko00010","ko00051",1
"ko00051","ko00052",1
"ko00051","ko00053",1
"ko00051","ko00510",1
"ko00051","ko00520",1
"ko00051","ko00620",1
"ko00010","ko00052",1
"ko00052","ko00520",1
"ko00053","ko00520",1
"ko00053","ko00630",1
"ko00074","ko00500",1
"ko00500","ko00520",1
"ko00020","ko00620",1
"ko00061","ko00620",1
"ko00250","ko00620",1
"ko00260","ko00620",1
"ko00290","ko00620",1
"ko00300","ko00620",1
"ko00522","ko00620",1
"ko00620","ko00630",1
"ko00620","ko00640",1
"ko00620","ko00650",1
"ko00620","ko00760",1
"ko00620","ko01056",1
"ko00620","ko01059",1
"ko00010","ko00630",1
"ko00071","ko00630",1
"ko00230","ko00630",1
"ko00250","ko00630",1
"ko00260","ko00630",1
"ko00270","ko00630",1
"ko00630","ko00710",1
"ko00630","ko00750",1
"ko00630","ko00910",1
"ko00020","ko00640",1
"ko00260","ko00640",1
"ko00270","ko00640",1
"ko00280","ko00640",1
"ko00410","ko00640",1
"ko00640","ko00660",1
"ko00640","ko00770",1
"ko00010","ko00650",1
"ko00020","ko00650",1
"ko00250","ko00650",1
"ko00330","ko00650",1
"ko00650","ko00750",1
"ko00650","ko01056",1
"ko00010","ko00660",1
"ko00020","ko00660",1
"ko00250","ko00660",1
"ko00290","ko00660",1
"ko00620","ko00660",1
"ko00660","ko00760",1
"ko00010","ko00562",1
"ko00020","ko00562",1
"ko00562","ko00564",1
"ko00010","ko00566",1
"ko00430","ko00566",1
"ko00566","ko00620",1
"ko00566","ko00640",1
"ko00566","ko00920",1
"ko00195","ko00196",1
"ko00195","ko00710",1
"ko00400","ko00710",1
"ko00710","ko00720",1
"ko00010","ko00680",1
"ko00030","ko00680",1
"ko00260","ko00680",1
"ko00300","ko00680",1
"ko00630","ko00680",1
"ko00680","ko00720",1
"ko00680","ko00740",1
"ko00680","ko00790",1
"ko00680","ko00910",1
"ko00680","ko00920",1
"ko00220","ko00910",1
"ko00250","ko00910",1
"ko00460","ko00910",1
"ko00720","ko00910",1
"ko00260","ko00920",1
"ko00270","ko00920",1
"ko00640","ko00920",1
"ko00720","ko00920",1
"ko00061","ko00062",1
"ko00061","ko00071",1
"ko00061","ko00074",1
"ko00061","ko00410",1
"ko00061","ko00561",1
"ko00061","ko00564",1
"ko00061","ko00785",1
"ko00062","ko00071",1
"ko00062","ko00073",1
"ko00071","ko00561",1
"ko00071","ko00650",1
"ko00073","ko00940",1
"ko00073","ko01040",1
"ko00074","ko00572",1
"ko00100","ko00120",1
"ko00100","ko00140",1
"ko00100","ko00900",1
"ko00100","ko00905",1
"ko00100","ko00984",1
"ko00120","ko00121",1
"ko00010","ko00561",1
"ko00561","ko00564",1
"ko00010","ko00564",1
"ko00260","ko00564",1
"ko00563","ko00564",1
"ko00564","ko00565",1
"ko00564","ko00620",1
"ko00260","ko00600",1
"ko00600","ko00601",1
"ko00600","ko00603",1
"ko00600","ko00604",1
"ko00590","ko00591",1
"ko00220","ko00230",1
"ko00230","ko00250",1
"ko00230","ko00260",1
"ko00230","ko00340",1
"ko00230","ko00730",1
"ko00230","ko00740",1
"ko00230","ko00790",1
"ko00220","ko00240",1
"ko00240","ko00250",1
"ko00240","ko00280",1
"ko00240","ko00410",1
"ko00010","ko00250",1
"ko00220","ko00250",1
"ko00250","ko00260",1
"ko00250","ko00261",1
"ko00250","ko00300",1
"ko00250","ko00330",1
"ko00250","ko00340",1
"ko00250","ko00410",1
"ko00250","ko00460",1
"ko00250","ko00470",1
"ko00250","ko00480",1
"ko00250","ko00520",1
"ko00250","ko00760",1
"ko00250","ko00770",1
"ko00250","ko00860",1
"ko00010","ko00260",1
"ko00020","ko00260",1
"ko00260","ko00270",1
"ko00260","ko00290",1
"ko00260","ko00300",1
"ko00260","ko00330",1
"ko00260","ko00460",1
"ko00260","ko00470",1
"ko00260","ko00860",1
"ko00010","ko00270",1
"ko00250","ko00270",1
"ko00270","ko00290",1
"ko00270","ko00430",1
"ko00270","ko00480",1
