pathway_id,pathway_name,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14
PWY-7723,bacterial bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7914,coral bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7912,dinoflagellate bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7913,firefly bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7937,fungal bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7915,jellyfish bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7916,squid bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
,blue chromoprotein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Chromoprotein Biosynthesis,,,,,,,,,,,,
,DsRed-type red fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,Kaede-type red fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,ZsYellow-type yellow fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,cyan fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,green fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,beta-alanine betaine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
BETSYN-PWY,glycine betaine biosynthesis I (Gram-negative bacteria),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY-3722,glycine betaine biosynthesis II (Gram-positive bacteria),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY1F-353,glycine betaine biosynthesis III (plants),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
P541-PWY,glycine betaine biosynthesis IV (from glycine),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY-3385,choline biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-3542,choline biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-3561,choline biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-40,putrescine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-43,putrescine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-46,putrescine biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-6305,superpathway of putrescine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY-6559,spermidine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY-6834,spermidine biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
,spermidine biosynthesis IV,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY0-1303,aminopropylcadaverine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-8114,branched-chain polyamines biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
