METHGLYUT-PWY,superpathway of methylglyoxal degradation,1.1.1.283-RXN,LACTALDDEHYDROG-RXN,L-LACTDEHYDROGFMN-RXN,RXN0-4281,RXN-8632,GLYOXIII-RXN,GLYOXI-RXN,GLYOXII-RXN,DLACTDEHYDROGFAD-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-5327,superpathway of L-lysine degradation,LYSINE-23-AMINOMUTASE-RXN,BETA-LYSINE-56-AMINOMUTASE-RXN,1.4.1.11-RXN,R125-RXN,2.8.3.9-RXN,ACETYL-COA-ACETYLTRANSFER-RXN,PHOSACETYLTRANS-RXN,ACETATEKIN-RXN,4.3.1.14-RXN,BUTYRYL-COA-DEHYDROGENASE-RXN,LYSDECARBOX-RXN,LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN,RXN-8808,L-LYSINE-AMINOTRANSFERASE-RXN,RXN-8173,1.5.1.8-RXN,1.5.1.9-RXN,1.2.1.31-RXN,2-KETO-ADIPATE-DEHYDROG-RXN,LYSINE-RACEMASE-RXN,RXN-8163,RXN-8166,L-PIPECOLATE-OXIDASE-RXN,RXN-8162,2-AMINOADIPATE-AMINOTRANSFERASE-RXN,RXN-8167,RXN-14724,L-LYSINE-OXIDASE-RXN,RXN-8172,RXN-8243,LYSACET-RXN,ACETCAPR-RXN,KETAMID-RXN,AMVAL-RXN,VAGL-RXN,GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-5497,purine nucleobases degradation II (anaerobic),GUANINE-DEAMINASE-RXN,RXN-8751,RXN-8753,RXN-8754,RXN-8752,RXN0-901,R127-RXN,R128-RXN,R62-RXN,R13-RXN,R63-RXN,GLYCINE-FORMIMINOTRANSFERASE-RXN,4.3.1.4-RXN,METHENYLTHFCYCLOHYDRO-RXN,FORMYLTHFDEFORMYL-RXN,1.2.1.2-RXN,METHYLENETHFDEHYDROG-NADP-RXN,GLYOHMETRANS-RXN,RXN-15125,RXN-15124,RXN-15127,PYRUFLAVREDUCT-RXN,PHOSACETYLTRANS-RXN,ACETATEKIN-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY490-3,nitrate reduction VI (assimilatory),1.7.7.2-RXN,FERREDOXIN--NITRITE-REDUCTASE-RXN,GLUTDEHYD-RXN,GLUTAMINESYN-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-5837,"2-carboxy-1,4-naphthoquinol biosynthesis",ISOCHORSYN-RXN,2.5.1.64-RXN,RXN-9310,O-SUCCINYLBENZOATE-COA-SYN-RXN,O-SUCCINYLBENZOATE-COA-LIG-RXN,NAPHTHOATE-SYN-RXN,RXN-9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-7431,aromatic biogenic amine degradation (bacteria),SYNEPHRINE-DEHYDRATASE-RXN,RXN-15198,OCTOPAMINE-DEHYDRATASE-RXN,RXN-5821,1.2.1.53-RXN,RXN-8505,RXN6666-4,RXN6666-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPGLUCAT-PWY,Entner-Doudoroff pathway II (non-phosphorylative),GLUCOSE-1-DEHYDROGENASE-NADP+-RXN,GLUCONOLACT-RXN,GLUCONATE-DEHYDRATASE-RXN,DHDOGALDOL-RXN,GLYCERALDEHYDE-DEHYDRO-RXN,GKI-RXN,2PGADEHYDRAT-RXN,PEPDEPHOS-RXN,PYRUFLAVREDUCT-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P164-PWY,purine nucleobases degradation I (anaerobic),GUANINE-DEAMINASE-RXN,RXN-8752,RXN0-901,RXN-8755,RXN-7682,R127-RXN,R128-RXN,R62-RXN,R13-RXN,R63-RXN,GLYCINE-FORMIMINOTRANSFERASE-RXN,RXN-7566,ACETATEKIN-RXN,4.3.1.4-RXN,METHENYLTHFCYCLOHYDRO-RXN,FORMYLTHFDEFORMYL-RXN,1.2.1.2-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis,DARAB5PISOM-RXN,KDO-8PSYNTH-RXN,KDO-8PPHOSPHAT-RXN,CPM-KDOSYNTH-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWY-6969,TCA cycle V (2-oxoglutarate synthase),RXN-14971,FUMHYDR-RXN,MALATE-DEH-RXN,CITSYN-RXN,ACONITATEDEHYDR-RXN,ACONITATEHYDR-RXN,ISOCITDEH-RXN,RXN-12912,2-OXOGLUTARATE-SYNTHASE-RXN,SUCCCOASYN-RXN,ISOCIT-CLEAV-RXN,MALSYN-RXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
